occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
5e542d55-aafb-4cd1-a42b-7517aae4ba53,NY,1976,4,26,New York,Bronx Co.,along Mosholu Pkwy.,40.85,-73.8662
c4e4b233-b92e-4b70-affa-b00b1b672cb6,NY,1976,4,30,New York,Bronx Co.,along Mosholu Pkwy.,40.85,-73.8662
1e395bad-46ff-43ba-af02-1251f711b511,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
778227ce-581a-4033-b2d9-aa27c30cb153,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
eb9fcfb9-ec2b-4887-b13a-7dfc64b8c5f2,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
67e882ca-193c-4511-91df-df2b20d72967,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
b88c54a8-dca1-4e7c-a5d9-c118d87aa9d0,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
6e9a9e8f-74fe-45b9-a5d2-9bfc2dd13498,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
76372032-01b3-464b-ab5e-1f6bfc913193,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
9a749969-af9e-42e2-aaca-b0ac0ac2bc9c,NY,1976,4,23,New York,Bronx Co.,,40.85,-73.8662
cf5ef602-1c2d-4702-8562-36323d5d7945,NY,1976,10,16,New York,Bronx Co.,,40.85,-73.8662
868beb3a-f6b0-4953-8e3b-bedbca632f7a,NY,1976,4,28,New York,Bronx Co.,Mosholu Pkwy,40.85,-73.8662
a8fb983f-6ff4-4105-92e0-c9fc0571f25c,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
07195f46-9575-4be1-947e-83892ca606be,NY,1976,6,19,New York,Bronx Co.,Parkside Place,40.85,-73.8662
832d7526-d171-4fec-8c53-2a87f61af37e,NY,1976,4,8,New York,Bronx Co.,,40.85,-73.8662
41249b0b-0380-400f-8543-5125fb3e316f,NY,1976,5,31,New York,Bronx Co.,Corner of Mosholu Pkway. and Southern Blvd.,40.85,-73.8662
6294f6f5-d6a1-434c-b3b1-627e55c5fa35,NY,1976,5,31,New York,Bronx Co.,,40.85,-73.8662
16a9a131-69bd-4ed8-94a3-8174640abf68,NY,1976,10,16,New York,Bronx Co.,,40.85,-73.8662
6e0907da-738c-4bd1-8859-a24f3280a90b,NY,1976,5,31,New York,Bronx Co.,,40.85,-73.8662
5dc55e90-f60a-4458-acf0-384cc721355c,NY,1976,5,31,New York,Bronx Co.,Mosholu Pkwy,40.85,-73.8662
2d9bf18a-b697-46f8-9954-a3d4406302a1,NY,1975,11,10,New York,Bronx Co.,Along Mosholu Pkwy.,40.85,-73.8662
5ae4cdc4-d0d3-45ab-9b30-172bb5b15490,NY,1976,5,19,New York,Bronx Co.,"Van Cortlandt Park, east of N.Y.S. Thruway, near Woodlawn Cemetary",40.8982,-73.8674
e57136fd-6256-404c-a00d-d60f389211b0,NY,2010,7,26,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and E of the Bronx River",40.8644,-73.8725
191c2a95-e4a8-4966-bd76-a9d64dc31d38,NY,2008,7,28,New York,Bronx Co.,"woods along Bronx River just upstream from New York Botanical Garden, formerly part of the New York Botanical Garden grounds. At west end of footbridge over the Bronx River",40.8719,-73.8731
ad1d56fe-fa05-4e8c-9c05-b08c939f1c4d,NY,2009,8,26,New York,Bronx Co.,New York City. Grounds of The New York Botanical Garden. S of Waring Ave and E of the Bronx River.,40.8574,-73.8734
47fe8a81-c860-4336-8711-95e78b58ed87,NY,2009,8,26,New York,Bronx Co.,New York City. Grounds of The New York Botanical Garden. S of Waring Ave and E of the Bronx River.,40.8575,-73.8735
d39df764-253c-406d-9504-8f928a0074bb,NY,2010,7,26,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and E of the Bronx River",40.8644,-73.8735
6570a955-4e7d-459d-ab5b-633fcea061e5,NY,2013,4,28,New York,Bronx Co.,"Grounds of The New York Botanical Garden, between the Nolen Glasshouses and the Rockefeller Rose Garden",40.8581,-73.874
77f3eacb-5125-4e34-b24f-10f738b61a3f,NY,1987,4,22,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 136",40.8631,-73.8741
