occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,Origin,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Notes,Herbivory Avg,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Leaf 5,Leaf 6,Leaf 7,Leaf 8,Leaf 9,Leaf 10
02395320-257b-4a9f-a907-48a21ce0c673,NY,PreservedSpecimen,2851455,J. Hartling,33709,1916,8,23,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158984,http://sweetgum.nybg.org/images3/2388/301/02851455.jpg,,24.6,2,6,24,0,9,11,46,71,58,19
68d96678-2abe-482d-98ad-9f0e7cf910f2,NY,PreservedSpecimen,2851452,J. Hartling,37452,1916,8,24,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158978,http://sweetgum.nybg.org/images3/2388/298/02851452.jpg,,6.3,0,2,3,12,36,9,0,1,0,0
80fdd72a-220e-4d84-831a-2668c992b4ee,NY,PreservedSpecimen,2851443,R. Nauss,46/40,1945,4,18,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Collection",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158960,http://sweetgum.nybg.org/images3/2394/070/02851443.jpg,,1.9,1,4,0,0,3,0,0,6,3,2
76c43965-0fe6-4b3d-83be-bbd9b440a20b,NY,PreservedSpecimen,2851438,J. Hartling,37447a,1916,8,24,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158954,http://sweetgum.nybg.org/images3/2394/065/02851438.jpg,,4.2,0,2,34,2,0,0,1,2,1,0
ff373e68-9b55-4604-9c24-496912a406cd,NY,PreservedSpecimen,2851435,J. Hartling,45839,1922,,,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158951,http://sweetgum.nybg.org/images3/2394/062/02851435.jpg,should we count?,36.66666667,83,57,42,59,26,18,15,11,19,
811a5699-e642-4d9d-83c0-1f487c7fa637,NY,PreservedSpecimen,2851448,J. Hartling,37447b,1916,8,24,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158970,http://sweetgum.nybg.org/images3/2388/294/02851448.jpg,,9.8,22,7,1,23,30,3,10,0,2,0
e4d7dd4a-d3c8-4e01-983f-b921d0ba1f09,NY,PreservedSpecimen,2851446,G. V. Nash,2591,1904,8,16,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158966,,,6.9,2,0,19,3,23,0,0,21,1,0
0b18f900-2622-4ea3-bfce-a9c693132e47,NY,PreservedSpecimen,2851467,H. E. Ahles,47/40,1944,5,11,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3159006,http://sweetgum.nybg.org/images3/2388/313/02851467.jpg,,0.9,2,0,1,0,0,0,0,6,0,0
3459d0b1-b6dd-412a-9707-33b60edcc905,NY,PreservedSpecimen,2851466,J. Hartling,45846,1920,,,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serrulata,,Prunus serrulata,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3159005,http://sweetgum.nybg.org/images3/2388/312/02851466.jpg,,5,4,3,2,5,11,,,,,
351c0f2d-d066-4b2d-8243-881c66f83264,NY,PreservedSpecimen,1482742,P. Wilson,s.n.,,,,North America,United States of America,New York,Queens Co.,,40.6989,-73.7887,"Georeferencing Quick Reference Guide, Version 2012",2361.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719937,http://sweetgum.nybg.org/images3/526/367/01482742.jpg,,2,0,1,0,1,4,6,,,,
