occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Origin,Gall Presence (Y/N),Checked By,Notes,Total Galls,Gall Species 1,Number 1,Gall Species 2,Number 2,Gall Species 3,Number 3
7aa384c0-b8d4-4e7e-9c57-6ea3d78e8310,NY,PreservedSpecimen,1465557,P. Wilson,s.n.,1900,9,25,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,rubra,,Quercus rubra L.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1705834,http://sweetgum.nybg.org/images3/4268/690/01465557.jpg,Native,Y,LE,lower leaves,2,Polystepha pilulae,2,,,,
e014068e-5f10-4b35-8493-bd382dab3719,NY,PreservedSpecimen,2549600,D. E. Atha,15100,2015,6,3,North America,United States of America,New York,New York Co.,"Central Park. Hallett Nature Sanctuary, northwest corner. Between 61st and 62nd Streets and between 5th and 6th Avenues",40.7672,-73.9752,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,rubra,,Quercus rubra L.,D. E. Atha,2016,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2917088,https://sweetgum.nybg.org/images3/1979/155/02549600.jpg,Native,Y,LE,Emily agreed on ID,1,Polystepha globosa,1,,,,
d01e853b-f6b1-46ab-b64c-8cb71e408265,NY,PreservedSpecimen,2688882,R. Alvarez,201482,2014,8,8,North America,United States of America,New York,New York Co.,"Central Park, North Woods, the Meadow, between 103rd and 104th Streets, between 7th and 8th Avenues",40.7946,-73.9554,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,rubra,,Quercus rubra L.,R. Alvarez,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987036,https://sweetgum.nybg.org/images3/2194/051/02688882.jpg,Native,N,LE,moths?,0,,,,,,
edf2a31d-0cd6-467f-835e-aed505a66462,NY,PreservedSpecimen,1206806,D. E. Atha,8606,2010,7,27,North America,United States of America,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and W of the Bronx River",40.8634,-73.8779,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,rubra,,Quercus rubra L.,D. E. Atha,2010,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460908,https://sweetgum.nybg.org/images3/613/254/01206806.jpg,Native,Y,LE,,2,Polystepha pilulae,2,,,,
19f98095-4de5-42f7-8b2a-178b8cc9ebb3,NY,PreservedSpecimen,1465562,B. Meurer-Grimes,211,1993,7,20,North America,United States of America,New York,Bronx Co.,"The New York Botanical Garden, tram stop area near Harding Laboratory",40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,rubra,,Quercus rubra L.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1705839,https://sweetgum.nybg.org/images3/609/997/01465562.jpg,Native,Y,LE,,4,Polystepha globosa,4,,,,
ba813f29-c729-4f73-99fa-4430f64d3e3c,NY,PreservedSpecimen,1483869,P. Wilson,s.n.,1903,,,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1723417,http://sweetgum.nybg.org/images3/4268/699/01483869.jpg,Native,Y,LE,,1,Polystepha globosa,1,,,,
26d4a0a9-e789-48c0-a7d9-c49e1536bf05,NY,PreservedSpecimen,1463933,J. von Schrenk,s.n.,1978,,,North America,United States of America,New York,Queens Co.,Long Island,40.7819,-73.8403,"Georeferencing Quick Reference Guide, Version 2012",2121.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693209,http://sweetgum.nybg.org/images3/615/718/01463933.jpg,Native,Y,LE,Emily agreed on ID,13,Macrodiplosis majalis,5,Macrodiplosis erubescens,4,Polystepha globosa,4
1f79912d-a050-4f90-a6b8-afbe33b952d5,NY,PreservedSpecimen,1138798,M. H. Nee,54313,2006,5,3,North America,United States of America,New York,Bronx Co.,Bronx. The New York Botanical Garden,40.8664,-73.8753,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693039,http://sweetgum.nybg.org/images3/830/605/01138798.jpg,Native,Y,LE,"bottom right, dark spots",4,Polystepha globosa,4,,,,
b53e56a3-8a56-4975-8a80-f3e4fe5c5116,NY,PreservedSpecimen,1463740,J. Möllen,s.n.,1896,10,,North America,United States of America,New York,Bronx Co.,Hill at Fordham,40.8593,-73.8985,GEOLocate Web Application,3036,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693004,https://sweetgum.nybg.org/images3/569/965/01463740.jpg,Native,Y,LE,,1,Macrodiplosis majalis,1,,,,
3a1f4c41-0d8e-4bf4-809b-eff9bbd68a8f,NY,PreservedSpecimen,1463899,B. Meurer-Grimes,43,1993,5,13,North America,United States of America,New York,Bronx Co.,The New York Botanical Garden. Rock garden near waterfall,40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693171,https://sweetgum.nybg.org/images3/615/693/01463899.jpg,Native,Y,LE,,5,Macrodiplosis majalis,5,,,,
