Accession_No,Mapping_Order,Full_name,Genus,Species,Origin,Leaf_no,Latitude,Longitude,Height_ft,Sun_Exposure_percent,Distance_from_Road_ft,Leaf_Accessibility,Gall_Presence,Leaf_Herbivory
W18-78,6,Quercus alba,Quercus,alba,Native,10,40.653388,-73.990816,18,75,0,high,Y,0
W18-31,7,Quercus alba,Quercus,alba,Native,1,40.653718,-73.990695,57,50,50,medium,Y,2
W18-31,7,Quercus alba,Quercus,alba,Native,2,40.653718,-73.990695,57,50,50,medium,Y,3
W18-31,7,Quercus alba,Quercus,alba,Native,3,40.653718,-73.990695,57,50,50,medium,Y,4
W18-31,7,Quercus alba,Quercus,alba,Native,4,40.653718,-73.990695,57,50,50,medium,Y,3
W18-31,7,Quercus alba,Quercus,alba,Native,5,40.653718,-73.990695,57,50,50,medium,Y,2
W18-31,7,Quercus alba,Quercus,alba,Native,6,40.653718,-73.990695,57,50,50,medium,Y,7
W18-31,7,Quercus alba,Quercus,alba,Native,7,40.653718,-73.990695,57,50,50,medium,Y,5
W18-31,7,Quercus alba,Quercus,alba,Native,8,40.653718,-73.990695,57,50,50,medium,Y,5
W18-31,7,Quercus alba,Quercus,alba,Native,9,40.653718,-73.990695,57,50,50,medium,Y,4
W18-31,7,Quercus alba,Quercus,alba,Native,10,40.653718,-73.990695,57,50,50,medium,Y,14
S04-10,8,Quercus alba,Quercus,alba,Native,1,40.649857,-73.991537,67,75,25,low,N,3
S04-10,8,Quercus alba,Quercus,alba,Native,2,40.649857,-73.991537,67,75,25,low,N,2
S04-10,8,Quercus alba,Quercus,alba,Native,3,40.649857,-73.991537,67,75,25,low,N,1
S04-10,8,Quercus alba,Quercus,alba,Native,4,40.649857,-73.991537,67,75,25,low,N,0
S04-10,8,Quercus alba,Quercus,alba,Native,5,40.649857,-73.991537,67,75,25,low,N,0
S04-10,8,Quercus alba,Quercus,alba,Native,6,40.649857,-73.991537,67,75,25,low,N,0
S04-10,8,Quercus alba,Quercus,alba,Native,7,40.649857,-73.991537,67,75,25,low,N,8
S04-10,8,Quercus alba,Quercus,alba,Native,8,40.649857,-73.991537,67,75,25,low,N,0
S04-10,8,Quercus alba,Quercus,alba,Native,9,40.649857,-73.991537,67,75,25,low,N,0
S04-10,8,Quercus alba,Quercus,alba,Native,10,40.649857,-73.991537,67,75,25,low,N,1
S03-32,9,Quercus alba,Quercus,alba,Native,1,40.648113,-73.992812,58,75,25,low,Y,1
S03-32,9,Quercus alba,Quercus,alba,Native,2,40.648113,-73.992812,58,75,25,low,Y,2
S03-32,9,Quercus alba,Quercus,alba,Native,3,40.648113,-73.992812,58,75,25,low,Y,1
S03-32,9,Quercus alba,Quercus,alba,Native,4,40.648113,-73.992812,58,75,25,low,Y,1
S03-32,9,Quercus alba,Quercus,alba,Native,5,40.648113,-73.992812,58,75,25,low,Y,1
S03-32,9,Quercus alba,Quercus,alba,Native,6,40.648113,-73.992812,58,75,25,low,Y,13
S03-32,9,Quercus alba,Quercus,alba,Native,7,40.648113,-73.992812,58,75,25,low,Y,8
S03-32,9,Quercus alba,Quercus,alba,Native,8,40.648113,-73.992812,58,75,25,low,Y,11
S03-32,9,Quercus alba,Quercus,alba,Native,9,40.648113,-73.992812,58,75,25,low,Y,6
S03-32,9,Quercus alba,Quercus,alba,Native,10,40.648113,-73.992812,58,75,25,low,Y,8
S02-7,10,Quercus alba,Quercus,alba,Native,1,40.647707,-73.992305,33,100,0,high,Y,1
S02-7,10,Quercus alba,Quercus,alba,Native,2,40.647707,-73.992305,33,100,0,high,Y,1
S02-7,10,Quercus alba,Quercus,alba,Native,3,40.647707,-73.992305,33,100,0,high,Y,0
S02-7,10,Quercus alba,Quercus,alba,Native,4,40.647707,-73.992305,33,100,0,high,Y,0
S02-7,10,Quercus alba,Quercus,alba,Native,5,40.647707,-73.992305,33,100,0,high,Y,1
S02-7,10,Quercus alba,Quercus,alba,Native,6,40.647707,-73.992305,33,100,0,high,Y,15
S02-7,10,Quercus alba,Quercus,alba,Native,7,40.647707,-73.992305,33,100,0,high,Y,3
S02-7,10,Quercus alba,Quercus,alba,Native,8,40.647707,-73.992305,33,100,0,high,Y,8
S02-7,10,Quercus alba,Quercus,alba,Native,9,40.647707,-73.992305,33,100,0,high,Y,9
S02-7,10,Quercus alba,Quercus,alba,Native,10,40.647707,-73.992305,33,100,0,high,Y,6
S15-209,11,Quercus robur,Quercus,robur,Non-native,1,40.646507,-73.986165,32,100,50,high,N,2
S15-209,11,Quercus robur,Quercus,robur,Non-native,2,40.646507,-73.986165,32,100,50,high,N,1
S15-209,11,Quercus robur,Quercus,robur,Non-native,3,40.646507,-73.986165,32,100,50,high,N,1
